"","market","stop_ship_acct","customer_state_code","count_customer_nk","Date"
"1","PUBL","N","NE",1117,"2020-05-01"
"2","PUBL","Y","KS",226,"2020-05-01"
"3","PUBL","N","KY",1335,"2020-05-01"
"4","PUBL","N","WA",1091,"2020-05-01"
"5","PUBL","N","MD",1716,"2020-05-01"
"6","PUBL","Y","NH",209,"2020-05-01"
"7","PUBL","Y","CA",1225,"2020-05-01"
"8","PUBL","Y","AK",37,"2020-05-01"
"9","PUBL","Y","AZ",102,"2020-05-01"
"10","PUBL","Y","WY",21,"2020-05-01"
"11","PUBL","N","TEX",1,"2020-05-01"
"12","PUBL",NA,"CA",1180,"2020-05-01"
"13","PUBL",NA,"WI",706,"2020-05-01"
"14","PUBL",NA,"HI",70,"2020-05-01"
"15","PUBL",NA,"SD",34,"2020-05-01"
"16","PUBL","N","AE",1,"2020-05-01"
"17","PUBL","Y","IL",1740,"2020-05-01"
"18","PUBL","Y","MI",832,"2020-05-01"
"19","PUBL","N","IN",2319,"2020-05-01"
"20","PUBL","N","NY",9540,"2020-05-01"
"21","PUBL","N","WV",476,"2020-05-01"
"22","PUBL","N","DC",564,"2020-05-01"
"23","PUBL","Y","SC",167,"2020-05-01"
"24","PUBL","N","AR",676,"2020-05-01"
"25","PUBL","Y","GA",279,"2020-05-01"
"26","PUBL","Y","LA",152,"2020-05-01"
"27","PUBL","Y","NC",270,"2020-05-01"
"28","PUBL",NA,"PA",640,"2020-05-01"
"29","PUBL",NA,"IA",551,"2020-05-01"
"30","PUBL",NA,"MN",264,"2020-05-01"
"31","PUBL",NA,"VT",135,"2020-05-01"
"32","PUBL",NA,"ZZ",6,"2020-05-01"
"33","PUBL","N","AP",5,"2020-05-01"
"34","PUBL",NA,"NE",117,"2020-05-01"
"35","PUBL","N","102",1,"2020-05-01"
"36","PUBL","N","PR",3,"2020-05-01"
"37","PUBL","Y","OH",1034,"2020-05-01"
"38","PUBL","N","GA",2909,"2020-05-01"
"39","PUBL","Y","MO",317,"2020-05-01"
"40","PUBL","Y","ND",4,"2020-05-01"
"41","PUBL","N","CA",10550,"2020-05-01"
"42","PUBL","N","ME",1658,"2020-05-01"
"43","PUBL","N","NH",1166,"2020-05-01"
"44","PUBL","N","AK",317,"2020-05-01"
"45","PUBL","Y","MT",34,"2020-05-01"
"46","PUBL","Y","AL",121,"2020-05-01"
"47","PUBL","N","AUS",5,"2020-05-01"
"48","PUBL",NA,"CT",574,"2020-05-01"
"49","PUBL",NA,"FL",722,"2020-05-01"
"50","PUBL",NA,"AR",109,"2020-05-01"
"51","PUBL",NA,"ME",289,"2020-05-01"
"52","PUBL",NA,"NM",137,"2020-05-01"
"53","PUBL",NA,"UT",120,"2020-05-01"
"54","PUBL",NA,"VI",2,"2020-05-01"
"55","PUBL","N","MI",3873,"2020-05-01"
"56","PUBL","Y","WI",294,"2020-05-01"
"57","PUBL","N","ND",388,"2020-05-01"
"58","PUBL","N","ID",393,"2020-05-01"
"59","PUBL","N","MA",4523,"2020-05-01"
"60","PUBL","N","NJ",5083,"2020-05-01"
"61","PUBL","N","CT",2950,"2020-05-01"
"62","PUBL","N","AZ",2434,"2020-05-01"
"63","PUBL","N","UT",526,"2020-05-01"
"64","PUBL","N","TN",2112,"2020-05-01"
"65","PUBL","Y","NJ",1058,"2020-05-01"
"66","PUBL","Y","DC",92,"2020-05-01"
"67","PUBL","Y","NY",4506,"2020-05-01"
"68","PUBL","Y","VT",84,"2020-05-01"
"69","PUBL","N","HI",266,"2020-05-01"
"70","PUBL","N","MT",417,"2020-05-01"
"71","PUBL","Y","OR",104,"2020-05-01"
"72","PUBL",NA,"NJ",857,"2020-05-01"
"73","PUBL",NA,"OH",584,"2020-05-01"
"74","PUBL",NA,"TN",462,"2020-05-01"
"75","PUBL",NA,"WV",61,"2020-05-01"
"76","PUBL",NA,"WA",186,"2020-05-01"
"77","PUBL",NA,"AP",6,"2020-05-01"
"78","PUBL",NA,"ON",1,"2020-05-01"
"79","PUBL","N","OH",3093,"2020-05-01"
"80","PUBL","N","TX",8772,"2020-05-01"
"81","PUBL","Y","IN",1166,"2020-05-01"
"82","PUBL","Y","OK",123,"2020-05-01"
"83","PUBL","Y","TX",632,"2020-05-01"
"84","PUBL","N","MS",642,"2020-05-01"
"85","PUBL","N","LA",837,"2020-05-01"
